i,j,t,c,l,p,o
0,39,0,-3.2496019318314104,-0.012091881988803113,-0.4596895695252619,-0.012309518591656066
0,40,0,0.14280087576424383,-0.012091881988803113,1.6810899892851416,0.04750555214982628
0,41,0,-6.326161170588929,-0.012091881988803113,-0.09402148990373214,-0.00465902149989519
0,42,0,-2.6599330302280246,-0.012091881988803113,-0.6182656326251734,-0.01635378905445199
0,43,0,-3.3351348561395753,-0.012091881988803113,-0.4394616037606027,-0.013439122024406929
0,44,0,-1.5064521325968618,-0.012091881988803113,0.9300796862635556,0.11997746892467646
0,45,0,-0.5627573667975839,-0.012091881988803113,0.3984872003196184,-0.08447744865663553
0,46,0,-4.467040601346395,-0.012091881988803113,-0.2556459262587607,-0.003883843759660487
0,47,0,-4.984997007414899,-0.012091881988803113,-0.20521196308512946,-0.004606629955748002
0,48,0,-2.918766607872382,-0.012091881988803113,-0.5571939291978797,-0.015591168656045552
0,49,0,-1.020066382287804,-0.012091881988803113,-1.1644886552473714,-0.030047635049294773
1,0,0,1.0097210346057783,-0.009266890750713321,-0.49012156873689533,0.08258021736152762
1,1,0,2.428612661003867,-0.009266890750713321,0.7741109205401498,0.02286246389075119
1,2,0,1.988809773167714,-0.009266890750713321,0.9147148184497487,0.022590241598331486
1,3,0,0.3164117002280589,-0.009266890750713321,-1.7500965496972891,-0.05093750871922067
1,4,0,6.562825273071427,-0.009266890750713321,0.1019331076857745,0.0028145131267305022
1,5,0,1.1922586642133532,-0.009266890750713321,-0.5781707506017036,-0.11366765404411688
1,6,0,5.273006676641989,-0.009266890750713321,0.20345523163666948,0.006572587008918422
1,7,0,6.559108926232349,-0.009266890750713321,0.10476727017433074,0.005488412580611266
1,8,0,1.3914003250174505,-0.009266890750713321,-2.2945272951870663,-0.06129306020160016
1,9,0,-1.8523861616505488,-0.009266890750713321,-0.8552589731946787,-0.023667096209889615
1,10,0,-1.672071704867533,-0.009266890750713321,2.6011323258740657,0.07205403107880975
1,11,0,-3.0175302373249915,-0.009266890750713321,-0.5252496749577962,-0.014403333584800839
1,12,0,-4.99301429891595,-0.009266890750713321,-0.19273894263884334,-0.0045067294976209584
1,13,0,0.4806291256012996,-0.009266890750713321,-1.83382431064405,-0.05181518595143091
1,14,0,5.256445402997134,-0.009266890750713321,0.19942981926868844,0.005481320176105307
1,15,0,4.509425117394877,-0.009266890750713321,0.3014846187113829,0.008213159519155584
