id,item,t,Y
16,49,1,0
16,50,1,0
17,1,1,0
17,2,1,1
17,3,1,1
17,4,1,0
17,5,1,1
17,6,1,1
17,7,1,1
17,8,1,1
17,9,1,1
17,10,1,0
17,11,1,1
17,12,1,0
17,13,1,0
17,14,1,1
17,15,1,1
17,16,1,1
17,17,1,0
17,18,1,0
17,19,1,1
17,20,1,1
17,21,1,1
17,22,1,1
17,23,1,1
17,24,1,1
17,25,1,1
17,26,1,1
17,27,1,1
17,28,1,0
17,29,1,1
17,30,1,0
17,31,1,0
17,32,1,1
17,33,1,0
17,34,1,0
17,35,1,0
17,36,1,1
17,37,1,0
17,38,1,0
17,39,1,0
17,40,1,0
17,41,1,0
17,42,1,0
17,43,1,0
17,44,1,0
17,45,1,0
17,46,1,0
17,47,1,0
17,48,1,0
17,49,1,0
17,50,1,0
18,1,1,1
18,2,1,1
18,3,1,1
18,4,1,1
18,5,1,1
18,6,1,1
18,7,1,1
18,8,1,1
18,9,1,1
18,10,1,1
18,11,1,0
18,12,1,0
18,13,1,0
18,14,1,1
18,15,1,1
18,16,1,1
18,17,1,0
18,18,1,0
18,19,1,0
18,20,1,0
18,21,1,1
18,22,1,1
18,23,1,1
18,24,1,1
18,25,1,1
18,26,1,1
18,27,1,1
18,28,1,1
18,29,1,1
18,30,1,0
18,31,1,1
18,32,1,1
18,33,1,0
18,34,1,0
18,35,1,0
18,36,1,0
18,37,1,1
18,38,1,0
18,39,1,1
18,40,1,0
18,41,1,1
18,42,1,0
18,43,1,0
18,44,1,0
18,45,1,1
18,46,1,0
18,47,1,0
18,48,1,0
18,49,1,0
18,50,1,0
19,1,1,1
19,2,1,1
19,3,1,1
19,4,1,0
19,5,1,1
19,6,1,0
19,7,1,1
19,8,1,1
19,9,1,0
19,10,1,0
19,11,1,0
19,12,1,0
19,13,1,0
19,14,1,0
19,15,1,1
19,16,1,1
19,17,1,0
19,18,1,0
19,19,1,0
19,20,1,1
19,21,1,1
19,22,1,1
19,23,1,1
19,24,1,1
19,25,1,1
19,26,1,0
19,27,1,0
19,28,1,1
19,29,1,1
19,30,1,0
19,31,1,0
19,32,1,1
19,33,1,1
19,34,1,0
19,35,1,0
19,36,1,0
19,37,1,0
19,38,1,0
19,39,1,0
19,40,1,0
19,41,1,0
19,42,1,0
19,43,1,0
19,44,1,0
19,45,1,0
19,46,1,0
19,47,1,0
19,48,1,0
19,49,1,0
19,50,1,0
20,1,1,0
20,2,1,0
20,3,1,0
20,4,1,1
20,5,1,1
20,6,1,1
20,7,1,1
20,8,1,1
20,9,1,0
20,10,1,0
20,11,1,0
20,12,1,0
20,13,1,0
20,14,1,1
20,15,1,1
20,16,1,1
20,17,1,0
20,18,1,0
20,19,1,0
20,20,1,1
20,21,1,1
20,22,1,1
20,23,1,1
20,24,1,1
20,25,1,1
20,26,1,1
20,27,1,1
20,28,1,0
20,29,1,1
20,30,1,0
20,31,1,1
20,32,1,1
20,33,1,0
20,34,1,0
20,35,1,0
20,36,1,0
20,37,1,0
20,38,1,1
20,39,1,1
20,40,1,0
20,41,1,0
20,42,1,0
20,43,1,1
20,44,1,0
20,45,1,0
20,46,1,1
20,47,1,0
20,48,1,0
20,49,1,0
20,50,1,0
1,1,2,0
1,2,2,0
1,3,2,1
1,4,2,0
1,5,2,1
1,6,2,0
1,7,2,1
1,8,2,1
1,9,2,1
1,10,2,0
1,11,2,0
1,12,2,0
1,13,2,0
1,14,2,0
1,15,2,1
1,16,2,1
1,17,2,0
1,18,2,0
1,19,2,0
1,20,2,1
1,21,2,1
1,22,2,1
1,23,2,1
1,24,2,1
1,25,2,1
1,26,2,1
1,27,2,1
1,28,2,0
1,29,2,1
1,30,2,0
1,31,2,1
1,32,2,1
1,33,2,1
1,34,2,0
1,35,2,0
1,36,2,0
1,37,2,1
1,38,2,0
1,39,2,0
1,40,2,0
1,41,2,1
1,42,2,0
1,43,2,0
1,44,2,0
1,45,2,0
1,46,2,1
1,47,2,0
1,48,2,0
1,49,2,0
1,50,2,0
2,1,2,0
2,2,2,1
2,3,2,1
2,4,2,0
2,5,2,1
2,6,2,1
2,7,2,1
2,8,2,1
2,9,2,0
2,10,2,0
2,11,2,1
2,12,2,0
2,13,2,0
2,14,2,0
2,15,2,1
2,16,2,1
2,17,2,0
2,18,2,0
2,19,2,1
2,20,2,1
2,21,2,1
2,22,2,1
2,23,2,1
2,24,2,1
2,25,2,1
2,26,2,1
2,27,2,1
2,28,2,1
2,29,2,0
2,30,2,0
2,31,2,1
2,32,2,1
2,33,2,0
2,34,2,1
2,35,2,0
2,36,2,0
2,37,2,1
2,38,2,0
2,39,2,0
2,40,2,1
2,41,2,1
2,42,2,0
2,43,2,1
2,44,2,0
2,45,2,1
2,46,2,0
2,47,2,0
2,48,2,0
2,49,2,0
2,50,2,0
3,1,2,1
3,2,2,0
3,3,2,1
3,4,2,1
3,5,2,1
3,6,2,1
3,7,2,1
3,8,2,1
3,9,2,0
3,10,2,1
3,11,2,0
3,12,2,0
3,13,2,0
3,14,2,1
3,15,2,1
3,16,2,1
3,17,2,0
3,18,2,0
3,19,2,0
3,20,2,1
3,21,2,1
3,22,2,1
3,23,2,1
3,24,2,1
3,25,2,1
3,26,2,0
3,27,2,1
3,28,2,0
3,29,2,1
3,30,2,0
3,31,2,0
3,32,2,1
3,33,2,0
3,34,2,0
3,35,2,1
3,36,2,1
3,37,2,1
3,38,2,1
3,39,2,1
3,40,2,0
3,41,2,1
3,42,2,0
3,43,2,1
3,44,2,1
3,45,2,1
3,46,2,1
3,47,2,1
3,48,2,0
3,49,2,0
3,50,2,1
4,1,2,0
4,2,2,1
4,3,2,0
4,4,2,1
4,5,2,1
4,6,2,1
4,7,2,1
4,8,2,1
4,9,2,1
4,10,2,0
4,11,2,0
4,12,2,0
4,13,2,0
4,14,2,1
4,15,2,1
4,16,2,1
4,17,2,0
4,18,2,0
4,19,2,1
4,20,2,1
4,21,2,1
4,22,2,1
4,23,2,1
4,24,2,1
4,25,2,1
4,26,2,1
4,27,2,1
4,28,2,0
4,29,2,0
4,30,2,0
4,31,2,1
4,32,2,1
4,33,2,1
4,34,2,0
4,35,2,0
4,36,2,0
4,37,2,0
4,38,2,0
4,39,2,0
4,40,2,0
4,41,2,0
4,42,2,0
4,43,2,0
4,44,2,0
4,45,2,0
4,46,2,1
4,47,2,0
4,48,2,0
4,49,2,0
4,50,2,1
5,1,2,0
5,2,2,1
5,3,2,0
5,4,2,1
5,5,2,1
5,6,2,1
5,7,2,1
5,8,2,1
5,9,2,1
5,10,2,0
5,11,2,0
5,12,2,0
5,13,2,0
5,14,2,0
5,15,2,1
5,16,2,1
5,17,2,0
5,18,2,0
5,19,2,0
5,20,2,1
5,21,2,1
5,22,2,1
5,23,2,1
5,24,2,1
5,25,2,1
5,26,2,0
5,27,2,1
5,28,2,0
5,29,2,1
5,30,2,0
5,31,2,1
5,32,2,1
5,33,2,0
5,34,2,0
5,35,2,0
5,36,2,0
5,37,2,0
5,38,2,0
5,39,2,0
5,40,2,0
5,41,2,0
5,42,2,0
5,43,2,0
5,44,2,1
5,45,2,0
5,46,2,0
5,47,2,0
5,48,2,0
5,49,2,0
5,50,2,0
6,1,2,1
6,2,2,1
6,3,2,1
6,4,2,1
6,5,2,1
6,6,2,0
6,7,2,1
6,8,2,1
6,9,2,1
6,10,2,0
6,11,2,0
6,12,2,0
6,13,2,0
6,14,2,1
6,15,2,1
6,16,2,1
6,17,2,1
6,18,2,0
6,19,2,1
6,20,2,1
6,21,2,1
6,22,2,0
6,23,2,1
6,24,2,1
6,25,2,1
6,26,2,1
6,27,2,1
6,28,2,1
6,29,2,1
6,30,2,0
6,31,2,0
6,32,2,0
6,33,2,1
6,34,2,0
6,35,2,0
6,36,2,0
6,37,2,0
6,38,2,0
6,39,2,1
6,40,2,0
6,41,2,1
6,42,2,0
6,43,2,0
6,44,2,0
6,45,2,0
6,46,2,0
6,47,2,0
6,48,2,0
6,49,2,0
6,50,2,0
7,1,2,1
7,2,2,1
7,3,2,1
7,4,2,0
7,5,2,1
7,6,2,0
7,7,2,1
7,8,2,1
7,9,2,1
7,10,2,0
7,11,2,0
7,12,2,0
7,13,2,0
7,14,2,0
7,15,2,1
7,16,2,1
7,17,2,0
7,18,2,0
7,19,2,0
7,20,2,1
7,21,2,1
7,22,2,1
7,23,2,1
7,24,2,1
7,25,2,1
7,26,2,1
7,27,2,1
7,28,2,0
7,29,2,1
7,30,2,0
7,31,2,1
7,32,2,1
7,33,2,1
7,34,2,0
7,35,2,0
7,36,2,0
7,37,2,0
7,38,2,0
7,39,2,0
7,40,2,0
7,41,2,1
7,42,2,0
7,43,2,0
7,44,2,0
7,45,2,0
7,46,2,0
7,47,2,0
7,48,2,0
7,49,2,0
7,50,2,0
8,1,2,0
8,2,2,1
8,3,2,0
8,4,2,0
8,5,2,1
8,6,2,1
8,7,2,1
8,8,2,1
8,9,2,1
8,10,2,0
8,11,2,0
8,12,2,0
8,13,2,0
8,14,2,1
8,15,2,1
8,16,2,1
8,17,2,0
8,18,2,0
8,19,2,0
8,20,2,1
8,21,2,1
8,22,2,1
8,23,2,1
8,24,2,1
8,25,2,1
8,26,2,1
8,27,2,1
8,28,2,0
8,29,2,0
8,30,2,0
8,31,2,0
